,Blocking_patent,Blocking_action,Blocked_app
669,7634565,103a,12040665
670,6216086,103a,12020118
671,6216086,103a,11428181
672,6216086,103a,11428181
673,6216086,103a,12733083
674,6018764,119,11378895
675,6018764,103a,11378895
676,6018764,101,11378895
677,5745695,103a,12845646
678,6980818,103a,11836505
679,7016319,102e,12401568
680,6317411,103a,12720963
681,6317411,103a,12720963
682,6317411,103a,13123673
683,6317411,103a,13123673
684,6317411,103a,12605837
685,7080397,103a,11444554
686,7062261,103,12479555
687,7062261,103,12479555
688,7062261,103,12479555
689,6374177,103a,12098514
690,6374177,103a,12098514
691,6374177,103a,12098514
692,6374177,103a,12098514
693,6374177,103a,12098514
694,6374177,102e,12368277
695,6321070,102b,13006163
696,6321070,103a,13006163
697,6321070,103a,12698957
698,5923214,102b,12396171
699,5923214,103a,11272017
700,5923214,103a,11272017
701,5923214,103a,11272017
702,5923214,103a,11272017
703,7243163,103a,10929029
704,7243163,103a,12628901
705,7243163,103a,11559567
706,7243163,103a,12395426
707,7243163,103a,12395426
708,7243163,103,12400166
709,7243163,102e,11368145
710,7243163,103a,11368145
711,7243163,103a,11368145
712,7583973,103a,12478654
713,7583973,103,12478654
714,6972382,103a,11443763
715,6334063,102b,12470808
716,6334063,103a,12470808
717,6114968,103a,11170392
718,6112244,103a,13115044
719,6112244,103a,13115044
720,6112244,103a,13115044
721,6915312,102h,12038189
722,6915312,103a,12038189
723,6915312,103a,12038189
724,6915312,103a,12038189
725,6915312,103a,12038189
726,6487721,103a,11820286
727,6487721,103a,11820286
728,6487721,103a,11820286
729,6487721,103a,11820286
730,6487721,103a,11820286
731,6487721,103a,11820286
732,6487721,103a,11820286
733,6487721,103a,11820286
734,6487721,103a,11820286
735,6487721,103a,11460543
736,6487721,103a,11985143
737,6487721,103a,12024044
738,6487721,103a,12024044
739,6487721,103a,12024044
740,6487721,103a,12024044
741,6487721,103a,12024044
742,6487721,103a,12024044
743,6487721,103a,11460543
744,6487721,103a,10759620
745,6043838,102b,11988032
746,6043838,103a,12031295
747,6043838,103a,11493434
748,6043838,103a,11493434
749,6043838,103a,11493434
750,6043838,102e,13302518
751,6043838,102b,12700186
752,6043838,103a,12700186
753,6043838,103a,11493434
754,6043838,103a,10590135
755,6529728,103a,12465414
756,8224390,103a,12949086
757,7688764,103a,11517883
758,7688764,103a,11988362
759,7688764,103a,11093323
760,7688764,103a,11988362
761,7688764,103a,11988362
762,6012634,103a,11448117
763,6012634,103a,11448117
764,6012634,103,11448117
765,6108314,103a,11778727
766,6108314,103a,11778727
767,7657272,103a,13010538
768,6002948,102b,11761468
769,6002948,103a,11761468
770,6775536,103a,11967938
771,7023814,103a,12133755
772,6526031,103a,12403196
773,5959546,103a,11690555
774,5959546,103a,11690555
775,5959546,103a,11690555
776,5959546,103a,11690555
777,5959546,103a,12475942
778,5959546,103a,12475942
779,5959546,103a,12475942
780,5959546,103a,12475942
781,7068719,103a,11799101
782,7068719,103a,11799101
783,7068719,103a,11799101
784,7068719,103a,11799101
785,7068719,103a,11799101
786,7640020,103a,12807813
787,6275693,103a,10565158
788,6275693,103a,10565158
789,8208434,103a,12949233
790,8208434,103a,12949233
791,6729547,103a,11962598
792,5963848,103a,12814394
793,8320878,103a,13075979
794,6081510,103a,12053725
795,6219703,103a,10969359
796,6219703,103a,10969359
797,6219703,103a,12847812
798,6167268,103a,11355540
799,6167268,102b,12040862
800,6167268,103a,12040862
801,6167268,103a,12040862
802,6167268,103a,12040862
803,6167268,103a,11355540
804,6167268,103a,11355538
805,6167268,102b,11355540
806,6167268,102b,12040862
807,6167268,103a,12040862
808,7606303,101,11777918
809,6134336,103a,11887316
810,6134336,103a,11855275
811,6313736,103a,11893720
812,6313736,103a,11893720
813,6313736,103a,11893720
814,6313736,103a,11893720
815,6313736,103a,11893720
816,5771353,103a,12194311
817,5771353,103a,10757609
818,5771353,103a,10757609
819,5771353,103a,10757609
820,5771353,103a,12194311
821,5771353,103a,10757609
822,5771353,103a,10757609
823,5771353,103a,10757609
824,5771353,103a,10757609
825,5771353,103a,10757609
826,5771353,103a,12194311
827,5771353,103a,10757609
828,5771353,103a,10757609
829,5771353,103a,10757609
830,5771353,103a,12194311
831,5771353,103a,10757609
832,5771353,103a,10757609
833,5771353,103a,10757609
834,5771353,103a,10757609
835,5771353,103a,10757609
836,6377161,103a,10987917
837,6285786,103a,12477582
838,6285786,102b,12194780
839,7831992,103a,11769029
840,6009336,119a,11620071
841,6009336,103a,11620071
842,6169903,102b,13036393
843,7171204,103a,11871286
844,7171204,103a,11871286
845,7600880,103a,12026367
846,7103319,103a,10893389
847,7103319,103a,10893389
848,6134223,103a,11959650
849,6134223,103a,11959650
850,6134223,103,11959650
851,6134223,103a,11959650
852,6134223,103a,11959650
853,6134223,103a,11959650
854,6134223,103a,11959650
855,6134223,103a,11959650
856,6134223,103,11959650
857,6134223,103a,11959650
858,6134223,103a,11959650
859,6694060,103a,12165625
860,6694060,103a,12165625
861,6694060,103a,12165625
862,6694060,103a,12165625
863,6694060,103a,12165625
864,6434391,103a,12844361
865,6434391,103,11719226
866,6434391,103a,13597300
867,7176838,112,12941011
868,7176838,103a,12941011
869,7176838,112,12941010
870,7176838,103a,12941010
