pub_year,blocking_month,count
2011,2014-10-01,0
2012,2014-10-01,0
2013,2014-10-01,0
2014,2014-10-01,0
1997,2014-11-01,0
1998,2014-11-01,0
1999,2014-11-01,0
2000,2014-11-01,1
2001,2014-11-01,0
2002,2014-11-01,0
2003,2014-11-01,3
2004,2014-11-01,0
2005,2014-11-01,0
2006,2014-11-01,0
2007,2014-11-01,0
2008,2014-11-01,0
2009,2014-11-01,0
2010,2014-11-01,0
2011,2014-11-01,0
2012,2014-11-01,0
2013,2014-11-01,0
2014,2014-11-01,0
1997,2014-12-01,0
1998,2014-12-01,0
1999,2014-12-01,0
2000,2014-12-01,0
2001,2014-12-01,0
2002,2014-12-01,0
2003,2014-12-01,0
2004,2014-12-01,0
2005,2014-12-01,0
2006,2014-12-01,2
2007,2014-12-01,1
2008,2014-12-01,0
2009,2014-12-01,0
2010,2014-12-01,0
2011,2014-12-01,0
2012,2014-12-01,1
2013,2014-12-01,0
2014,2014-12-01,0
