,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
413,8344325,0,1,0.0,0
414,7403496,0,2,0.0,0
415,7805137,0,0,0.0,0
416,8923831,0,0,0.0,0
417,7885266,0,1,0.0,0
418,8064653,0,0,0.0,0
419,7672246,0,0,0.0,0
420,7889103,0,7,0.0,0
421,8237750,0,0,0.0,0
422,7489703,0,1,0.0,0
423,5991447,3,108,0.0277777777778,2
424,7283697,0,4,0.0,0
425,6822950,0,0,0.0,0
426,9025682,0,0,0.0,0
427,7042879,1,65,0.0153846153846,1
428,6968158,1,1,1.0,1
429,7251275,0,5,0.0,0
430,7108914,2,11,0.181818181818,2
431,6449264,0,7,0.0,0
432,5764690,0,6,0.0,0
433,6587501,0,2,0.0,0
434,6044158,1,6,0.166666666667,1
435,8144204,0,1,0.0,0
436,7047310,0,8,0.0,0
437,6223035,1,5,0.2,1
438,6917281,0,4,0.0,0
439,7567239,1,1,1.0,1
440,5834756,0,140,0.0,0
441,6791995,3,60,0.05,2
442,7020198,1,1,1.0,1
443,5661635,2,20,0.1,1
444,5966671,1,6,0.166666666667,1
445,7844305,0,0,0.0,0
446,7680482,0,1,0.0,0
447,6321073,16,38,0.42105263157899997,4
448,7095403,1,33,0.030303030303,1
449,8503324,0,0,0.0,0
450,6453291,0,15,0.0,0
451,6901122,3,4,0.75,3
452,7366481,0,4,0.0,0
453,5974066,0,0,0.0,0
454,6845359,0,1,0.0,0
455,5781547,3,3,1.0,1
456,7461106,6,18,0.33333333333299997,2
457,7236134,0,1,0.0,0
458,7126996,20,36,0.555555555556,10
459,6148183,0,20,0.0,0
460,6907043,0,0,0.0,0
461,6108046,7,4,1.75,2
462,8542202,0,0,0.0,0
463,8139353,0,6,0.0,0
464,7821466,0,1,0.0,0
465,7602714,0,0,0.0,0
466,7262811,0,4,0.0,0
467,6658272,14,117,0.11965811965800001,5
468,8774828,0,0,0.0,0
469,6421607,2,9,0.222222222222,1
470,9036706,0,0,0.0,0
471,6853368,0,1,0.0,0
472,8401507,0,0,0.0,0
473,6795768,3,25,0.12,1
474,8886258,0,0,0.0,0
475,7681009,0,1,0.0,0
476,D706804,0,0,0.0,0
477,6104709,0,17,0.0,0
478,8867454,0,0,0.0,0
479,8340676,0,1,0.0,0
480,5966656,3,5,0.6,1
481,8223217,0,0,0.0,0
482,8554271,0,3,0.0,0
483,5824436,0,2,0.0,0
484,6009325,2,35,0.0571428571429,2
485,6721562,0,6,0.0,0
486,7321567,0,0,0.0,0
487,7873114,0,5,0.0,0
488,9019106,0,0,0.0,0
489,5960327,0,4,0.0,0
490,7171603,0,6,0.0,0
491,8885341,0,0,0.0,0
492,6993335,0,9,0.0,0
493,7508352,0,0,0.0,0
494,7769402,0,3,0.0,0
495,9173241,0,0,0.0,0
496,7310375,2,0,0.0,1
497,6995889,0,4,0.0,0
498,8862776,0,0,0.0,0
499,6052559,0,0,0.0,0
500,5999115,0,5,0.0,0
501,8253654,0,0,0.0,0
502,7398096,0,0,0.0,0
503,5987032,0,4,0.0,0
504,7095439,0,7,0.0,0
505,8750411,0,0,0.0,0
506,6038535,0,7,0.0,0
507,9144100,0,0,0.0,0
508,5937937,0,0,0.0,0
509,5995840,1,9,0.111111111111,1
510,7783315,0,0,0.0,0
511,6725043,0,23,0.0,0
512,6011909,0,11,0.0,0
513,7282891,1,11,0.0909090909091,1
514,7929010,0,5,0.0,0
515,8966519,0,0,0.0,0
516,6128287,2,15,0.133333333333,1
517,9065518,0,0,0.0,0
518,6600369,0,15,0.0,0
519,7697480,3,5,0.6,2
520,6040683,0,16,0.0,0
521,6609004,2,80,0.025,1
522,5809059,0,44,0.0,0
523,7231223,0,3,0.0,0
524,6016422,0,11,0.0,0
525,7539171,0,1,0.0,0
526,D600667,0,10,0.0,0
527,7242923,2,11,0.181818181818,2
528,7864882,0,0,0.0,0
529,8855596,0,0,0.0,0
530,7239896,5,5,1.0,3
531,7065209,0,0,0.0,0
532,7787622,0,4,0.0,0
533,5930288,0,20,0.0,0
534,6735430,0,5,0.0,0
535,8019604,0,1,0.0,0
536,7586990,2,8,0.25,2
537,5834972,0,8,0.0,0
538,8943015,0,0,0.0,0
539,8284761,0,1,0.0,0
540,8194696,0,0,0.0,0
541,8040475,0,1,0.0,0
