"","pub_year","cit_month","count"
"545","1999",2013-04-01,115
"546","2000",2013-04-01,129
"547","2001",2013-04-01,103
"548","2002",2013-04-01,77
"549","2003",2013-04-01,80
"550","2004",2013-04-01,84
"551","2005",2013-04-01,77
"552","2006",2013-04-01,87
"553","2007",2013-04-01,70
"554","2008",2013-04-01,39
"555","2009",2013-04-01,33
"556","2010",2013-04-01,37
"557","2011",2013-04-01,20
"558","2012",2013-04-01,9
"559","2013",2013-04-01,0
"560","2014",2013-04-01,0
"561","1994",2013-05-01,0
"562","1996",2013-05-01,0
"563","1997",2013-05-01,17
"564","1998",2013-05-01,65
"565","1999",2013-05-01,107
"566","2000",2013-05-01,104
"567","2001",2013-05-01,92
"568","2002",2013-05-01,53
"569","2003",2013-05-01,48
"570","2004",2013-05-01,58
"571","2005",2013-05-01,52
"572","2006",2013-05-01,57
"573","2007",2013-05-01,46
"574","2008",2013-05-01,29
"575","2009",2013-05-01,19
"576","2010",2013-05-01,21
"577","2011",2013-05-01,14
"578","2012",2013-05-01,8
"579","2013",2013-05-01,0
"580","2014",2013-05-01,0
"581","1994",2013-06-01,0
"582","1996",2013-06-01,0
"583","1997",2013-06-01,12
"584","1998",2013-06-01,58
"585","1999",2013-06-01,93
"586","2000",2013-06-01,132
"587","2001",2013-06-01,114
"588","2002",2013-06-01,94
"589","2003",2013-06-01,97
"590","2004",2013-06-01,77
"591","2005",2013-06-01,85
"592","2006",2013-06-01,92
"593","2007",2013-06-01,69
"594","2008",2013-06-01,43
"595","2009",2013-06-01,29
"596","2010",2013-06-01,32
"597","2011",2013-06-01,25
"598","2012",2013-06-01,9
"599","2013",2013-06-01,0
"600","2014",2013-06-01,0
"601","1994",2013-07-01,0
"602","1996",2013-07-01,0
"603","1997",2013-07-01,14
"604","1998",2013-07-01,87
"605","1999",2013-07-01,122
"606","2000",2013-07-01,165
"607","2001",2013-07-01,121
"608","2002",2013-07-01,88
"609","2003",2013-07-01,78
"610","2004",2013-07-01,93
"611","2005",2013-07-01,92
"612","2006",2013-07-01,95
"613","2007",2013-07-01,48
"614","2008",2013-07-01,36
"615","2009",2013-07-01,27
"616","2010",2013-07-01,36
"617","2011",2013-07-01,23
"618","2012",2013-07-01,19
"619","2013",2013-07-01,2
"620","2014",2013-07-01,0
"621","1994",2013-08-01,0
"622","1996",2013-08-01,0
"623","1997",2013-08-01,15
"624","1998",2013-08-01,85
"625","1999",2013-08-01,107
